12826	9314	0	6	AVC26002	-590.71	0
13014	9531	0	6	AVC26003	-419.6	0
12902	9616	0	6	AVC26004	-1068.15	0
13153	9669	0	6	AVC26005	-1147.39	0
13510	9676	0	6	AVC26006	-716.64	0
12946	9732	0	6	AVC26007	-5062.68	0
12947	9736	0	6	AVC26008	-374.42	0
12953	9782	0	6	AVC26009	-195.75	0
13739	9829	0	6	AVC26010	-1222.98	0
13296	9888	0	6	AVC26011	-620.9	0
13309	9947	0	6	AVC26012	-167.93	0
13153	9916	0	6	AVC26013	-403.36	0
13574	9943	0	6	AVC26014	-353.52	0
13974	10020	0	6	AVC26015	-1177.98	0
13692	10026	0	6	AVC26016	-9407.09	0
13638	10103	0	6	AVC26017	-139.13	0
13626	10127	0	6	AVC26018	-520.48	0
13437	10128	0	6	AVC26019	-81	0
13626	10244	0	6	AVC26021	-874.13	0
13105	10304	0	6	AVC26023	-871.68	0
13626	10364	0	6	AVC26024	-225.78	0
13626	10542	0	6	AVC26026	-1688.37	0
13516	10667	0	6	AVC26027	-2165.87	0
13136	10681	0	6	AVC26028	-756.23	0
13311	10729	0	6	AVC26029	-118.5	0
13144	10735	0	6	AVC26030	-111.13	0
13627	10745	0	6	AVC26031	-328.5	0
13145	10750	0	6	AVC26033	-314.12	0
13456	10784	0	6	AVC26034	-1526.58	0
13171	10790	0	6	AVC26035	-161.3	0
13333	11266	0	6	AVC26041	-309.62	0
13646	11289	0	6	AVC26042	-315.65	0
13646	11365	0	6	AVC26045	-1296	0
13677	11430	0	6	AVC26046	-480.2	0
13424	11471	0	6	AVC26048	-166.1	0
13510	11475	0	6	AVC26049	-707.23	0
13966	11553	0	6	AVC26051	-576.61	0
13832	11625	0	6	AVC26052	-331.76	0
13529	11684	0	6	AVC26053	-915.54	0
13536	11720	0	6	AVC26054	-153.04	0
13840	11787	0	6	AVC26055	-87.43	0
13978	11834	0	6	AVC26056	-825.04	0
13603	11991	0	6	AVC26058	-131	0
13936	11992	0	6	AVC26059	-214.41	0
